budget_line_id,fiscal_month,fiscal_quarter,fiscal_year,department,cost_center_id,budget_category,budget_amount_usd,actual_amount_usd
BL-00001,2025-01,Q1 2025,FY2025,Engineering,CC-102,Compensation,420000,418184.46
BL-00002,2025-01,Q1 2025,FY2025,Engineering,CC-101,Benefits,84000,83564.28
BL-00003,2025-01,Q1 2025,FY2025,Engineering,CC-105,Software,65000,65533.52
BL-00004,2025-01,Q1 2025,FY2025,Engineering,CC-105,Equipment,30000,31449.06
BL-00005,2025-01,Q1 2025,FY2025,Engineering,CC-103,Travel,15000,15149.54
BL-00006,2025-01,Q1 2025,FY2025,Engineering,CC-100,Training,12000,11903.76
BL-00007,2025-01,Q1 2025,FY2025,Engineering,CC-104,Facilities,25000,25517.63
BL-00008,2025-01,Q1 2025,FY2025,Sales,CC-111,Compensation,380000,381490.51
BL-00009,2025-01,Q1 2025,FY2025,Sales,CC-112,Benefits,76000,77497.13
BL-00010,2025-01,Q1 2025,FY2025,Sales,CC-112,Travel,45000,45149.18
BL-00011,2025-01,Q1 2025,FY2025,Sales,CC-111,Software,25000,24491.67
BL-00012,2025-01,Q1 2025,FY2025,Sales,CC-109,Training,18000,17893.81
BL-00013,2025-01,Q1 2025,FY2025,Sales,CC-113,Professional Services,15000,15018.75
BL-00014,2025-01,Q1 2025,FY2025,Sales,CC-108,Equipment,10000,9968.1
BL-00015,2025-01,Q1 2025,FY2025,Marketing,CC-115,Compensation,210000,208160.7
BL-00016,2025-01,Q1 2025,FY2025,Marketing,CC-115,Benefits,42000,40911.32
BL-00017,2025-01,Q1 2025,FY2025,Marketing,CC-114,Software,35000,35917.07
BL-00018,2025-01,Q1 2025,FY2025,Marketing,CC-117,Travel,25000,24819.53
BL-00019,2025-01,Q1 2025,FY2025,Marketing,CC-118,Professional Services,40000,41910.59
BL-00020,2025-01,Q1 2025,FY2025,Marketing,CC-116,Training,10000,10332.19
BL-00021,2025-01,Q1 2025,FY2025,Marketing,CC-118,Facilities,15000,15255.71
BL-00022,2025-01,Q1 2025,FY2025,Finance,CC-121,Compensation,160000,152730.3
BL-00023,2025-01,Q1 2025,FY2025,Finance,CC-125,Benefits,32000,32923.03
BL-00024,2025-01,Q1 2025,FY2025,Finance,CC-123,Software,20000,19901.61
BL-00025,2025-01,Q1 2025,FY2025,Finance,CC-127,Professional Services,25000,25498.2
BL-00026,2025-01,Q1 2025,FY2025,Finance,CC-123,Training,8000,7707.42
BL-00027,2025-01,Q1 2025,FY2025,Finance,CC-121,Facilities,12000,11502.92
BL-00028,2025-01,Q1 2025,FY2025,HR,CC-133,Compensation,120000,117373.99
BL-00029,2025-01,Q1 2025,FY2025,HR,CC-128,Benefits,24000,24082.38
BL-00030,2025-01,Q1 2025,FY2025,HR,CC-134,Software,15000,15368.39
BL-00031,2025-01,Q1 2025,FY2025,HR,CC-130,Professional Services,18000,18026.89
BL-00032,2025-01,Q1 2025,FY2025,HR,CC-131,Training,10000,10137.63
BL-00033,2025-01,Q1 2025,FY2025,HR,CC-130,Facilities,10000,9811.9
BL-00034,2025-01,Q1 2025,FY2025,Legal,CC-137,Compensation,140000,136987.04
BL-00035,2025-01,Q1 2025,FY2025,Legal,CC-140,Benefits,28000,28166.63
BL-00036,2025-01,Q1 2025,FY2025,Legal,CC-140,Professional Services,35000,35800.9
BL-00037,2025-01,Q1 2025,FY2025,Legal,CC-139,Software,10000,10383.77
BL-00038,2025-01,Q1 2025,FY2025,Legal,CC-140,Travel,5000,5092.37
BL-00039,2025-01,Q1 2025,FY2025,Legal,CC-137,Facilities,8000,8008.71
BL-00040,2025-01,Q1 2025,FY2025,Product,CC-147,Compensation,250000,258349.77
BL-00041,2025-01,Q1 2025,FY2025,Product,CC-144,Benefits,50000,49599.82
BL-00042,2025-01,Q1 2025,FY2025,Product,CC-148,Software,40000,39217.92
BL-00043,2025-01,Q1 2025,FY2025,Product,CC-148,Travel,12000,12014.02
BL-00044,2025-01,Q1 2025,FY2025,Product,CC-142,Equipment,15000,14848.32
BL-00045,2025-01,Q1 2025,FY2025,Product,CC-142,Training,10000,10102.99
BL-00046,2025-01,Q1 2025,FY2025,Product,CC-143,Facilities,15000,14571.28
BL-00047,2025-01,Q1 2025,FY2025,Operations,CC-154,Compensation,180000,185973.22
BL-00048,2025-01,Q1 2025,FY2025,Operations,CC-151,Benefits,36000,35274.47
BL-00049,2025-01,Q1 2025,FY2025,Operations,CC-154,Equipment,25000,25205.24
BL-00050,2025-01,Q1 2025,FY2025,Operations,CC-152,Software,18000,18617.67
BL-00051,2025-01,Q1 2025,FY2025,Operations,CC-154,Travel,10000,10102.57
BL-00052,2025-01,Q1 2025,FY2025,Operations,CC-153,Professional Services,12000,12154.37
BL-00053,2025-01,Q1 2025,FY2025,Operations,CC-152,Facilities,18000,17131.41
BL-00054,2025-01,Q1 2025,FY2025,IT,CC-160,Compensation,200000,197588.05
BL-00055,2025-01,Q1 2025,FY2025,IT,CC-157,Benefits,40000,39318.72
BL-00056,2025-01,Q1 2025,FY2025,IT,CC-160,Software,55000,55686.01
BL-00057,2025-01,Q1 2025,FY2025,IT,CC-162,Equipment,35000,33238.4
BL-00058,2025-01,Q1 2025,FY2025,IT,CC-156,Facilities,30000,30061.55
BL-00059,2025-01,Q1 2025,FY2025,IT,CC-161,Professional Services,15000,15152.32
BL-00060,2025-01,Q1 2025,FY2025,IT,CC-159,Training,8000,8116.12
BL-00061,2025-01,Q1 2025,FY2025,Executive,CC-167,Compensation,150000,146353.75
BL-00062,2025-01,Q1 2025,FY2025,Executive,CC-166,Benefits,30000,29494.91
BL-00063,2025-01,Q1 2025,FY2025,Executive,CC-169,Travel,20000,18429.44
BL-00064,2025-01,Q1 2025,FY2025,Executive,CC-163,Professional Services,10000,9854.72
BL-00065,2025-01,Q1 2025,FY2025,Executive,CC-167,Facilities,8000,7949.78
BL-00066,2025-02,Q1 2025,FY2025,Engineering,CC-106,Compensation,420000,414371.53
BL-00067,2025-02,Q1 2025,FY2025,Engineering,CC-100,Benefits,84000,83619.4
BL-00068,2025-02,Q1 2025,FY2025,Engineering,CC-102,Software,65000,67775.48
BL-00069,2025-02,Q1 2025,FY2025,Engineering,CC-105,Equipment,30000,29092.28
BL-00070,2025-02,Q1 2025,FY2025,Engineering,CC-105,Travel,15000,15197.2
BL-00071,2025-02,Q1 2025,FY2025,Engineering,CC-101,Training,12000,11964.35
BL-00072,2025-02,Q1 2025,FY2025,Engineering,CC-104,Facilities,25000,25880.68
BL-00073,2025-02,Q1 2025,FY2025,Sales,CC-109,Compensation,380000,399663.59
BL-00074,2025-02,Q1 2025,FY2025,Sales,CC-113,Benefits,76000,73594.37
BL-00075,2025-02,Q1 2025,FY2025,Sales,CC-108,Travel,45000,43811.37
BL-00076,2025-02,Q1 2025,FY2025,Sales,CC-109,Software,25000,24212.42
BL-00077,2025-02,Q1 2025,FY2025,Sales,CC-113,Training,18000,18052.8
BL-00078,2025-02,Q1 2025,FY2025,Sales,CC-111,Professional Services,15000,14441.42
BL-00079,2025-02,Q1 2025,FY2025,Sales,CC-110,Equipment,10000,10353.51
BL-00080,2025-02,Q1 2025,FY2025,Marketing,CC-114,Compensation,210000,205826.82
BL-00081,2025-02,Q1 2025,FY2025,Marketing,CC-120,Benefits,42000,42912.99
BL-00082,2025-02,Q1 2025,FY2025,Marketing,CC-120,Software,35000,35644.6
BL-00083,2025-02,Q1 2025,FY2025,Marketing,CC-118,Travel,25000,24908.4
BL-00084,2025-02,Q1 2025,FY2025,Marketing,CC-114,Professional Services,40000,40387.77
BL-00085,2025-02,Q1 2025,FY2025,Marketing,CC-114,Training,10000,10297.19
BL-00086,2025-02,Q1 2025,FY2025,Marketing,CC-120,Facilities,15000,15266.11
BL-00087,2025-02,Q1 2025,FY2025,Finance,CC-126,Compensation,160000,157563.75
BL-00088,2025-02,Q1 2025,FY2025,Finance,CC-124,Benefits,32000,31898.44
BL-00089,2025-02,Q1 2025,FY2025,Finance,CC-125,Software,20000,20340.56
BL-00090,2025-02,Q1 2025,FY2025,Finance,CC-127,Professional Services,25000,24852.3
BL-00091,2025-02,Q1 2025,FY2025,Finance,CC-125,Training,8000,7514.11
BL-00092,2025-02,Q1 2025,FY2025,Finance,CC-127,Facilities,12000,11422.88
BL-00093,2025-02,Q1 2025,FY2025,HR,CC-130,Compensation,120000,119696.57
BL-00094,2025-02,Q1 2025,FY2025,HR,CC-131,Benefits,24000,23521.29
BL-00095,2025-02,Q1 2025,FY2025,HR,CC-131,Software,15000,15651.65
BL-00096,2025-02,Q1 2025,FY2025,HR,CC-132,Professional Services,18000,17976.16
BL-00097,2025-02,Q1 2025,FY2025,HR,CC-128,Training,10000,9783.99
BL-00098,2025-02,Q1 2025,FY2025,HR,CC-130,Facilities,10000,10067.96
BL-00099,2025-02,Q1 2025,FY2025,Legal,CC-139,Compensation,140000,145290.14
BL-00100,2025-02,Q1 2025,FY2025,Legal,CC-136,Benefits,28000,28140.65
BL-00101,2025-02,Q1 2025,FY2025,Legal,CC-135,Professional Services,35000,36645.49
BL-00102,2025-02,Q1 2025,FY2025,Legal,CC-136,Software,10000,10021.26
BL-00103,2025-02,Q1 2025,FY2025,Legal,CC-137,Travel,5000,5034.55
BL-00104,2025-02,Q1 2025,FY2025,Legal,CC-135,Facilities,8000,8024.92
BL-00105,2025-02,Q1 2025,FY2025,Product,CC-145,Compensation,250000,243964.33
BL-00106,2025-02,Q1 2025,FY2025,Product,CC-143,Benefits,50000,49892.35
BL-00107,2025-02,Q1 2025,FY2025,Product,CC-146,Software,40000,38134.4
BL-00108,2025-02,Q1 2025,FY2025,Product,CC-146,Travel,12000,11859.17
BL-00109,2025-02,Q1 2025,FY2025,Product,CC-148,Equipment,15000,14223.04
BL-00110,2025-02,Q1 2025,FY2025,Product,CC-145,Training,10000,10089.83
BL-00111,2025-02,Q1 2025,FY2025,Product,CC-145,Facilities,15000,15074.32
BL-00112,2025-02,Q1 2025,FY2025,Operations,CC-151,Compensation,180000,182269.53
BL-00113,2025-02,Q1 2025,FY2025,Operations,CC-154,Benefits,36000,34925.41
BL-00114,2025-02,Q1 2025,FY2025,Operations,CC-149,Equipment,25000,25388.66
BL-00115,2025-02,Q1 2025,FY2025,Operations,CC-149,Software,18000,17279.9
BL-00116,2025-02,Q1 2025,FY2025,Operations,CC-149,Travel,10000,9234.39
BL-00117,2025-02,Q1 2025,FY2025,Operations,CC-155,Professional Services,12000,11731.7
BL-00118,2025-02,Q1 2025,FY2025,Operations,CC-149,Facilities,18000,18282.39
BL-00119,2025-02,Q1 2025,FY2025,IT,CC-159,Compensation,200000,200032.9
BL-00120,2025-02,Q1 2025,FY2025,IT,CC-157,Benefits,40000,40779.47
BL-00121,2025-02,Q1 2025,FY2025,IT,CC-157,Software,55000,53824.1
BL-00122,2025-02,Q1 2025,FY2025,IT,CC-162,Equipment,35000,35399.93
BL-00123,2025-02,Q1 2025,FY2025,IT,CC-162,Facilities,30000,30862.84
BL-00124,2025-02,Q1 2025,FY2025,IT,CC-162,Professional Services,15000,14774.23
BL-00125,2025-02,Q1 2025,FY2025,IT,CC-160,Training,8000,7926.5
BL-00126,2025-02,Q1 2025,FY2025,Executive,CC-169,Compensation,150000,149549.11
BL-00127,2025-02,Q1 2025,FY2025,Executive,CC-169,Benefits,30000,30396.54
BL-00128,2025-02,Q1 2025,FY2025,Executive,CC-169,Travel,20000,20024.58
BL-00129,2025-02,Q1 2025,FY2025,Executive,CC-166,Professional Services,10000,10026.19
BL-00130,2025-02,Q1 2025,FY2025,Executive,CC-164,Facilities,8000,8244.23
BL-00131,2025-03,Q1 2025,FY2025,Engineering,CC-101,Compensation,420000,437932.27
BL-00132,2025-03,Q1 2025,FY2025,Engineering,CC-103,Benefits,84000,79913.91
BL-00133,2025-03,Q1 2025,FY2025,Engineering,CC-106,Software,65000,66940.02
BL-00134,2025-03,Q1 2025,FY2025,Engineering,CC-106,Equipment,30000,30012.13
BL-00135,2025-03,Q1 2025,FY2025,Engineering,CC-105,Travel,15000,14546.8
BL-00136,2025-03,Q1 2025,FY2025,Engineering,CC-106,Training,12000,12105.31
BL-00137,2025-03,Q1 2025,FY2025,Engineering,CC-101,Facilities,25000,23878.53
BL-00138,2025-03,Q1 2025,FY2025,Sales,CC-108,Compensation,380000,373769.79
BL-00139,2025-03,Q1 2025,FY2025,Sales,CC-111,Benefits,76000,74263.86
BL-00140,2025-03,Q1 2025,FY2025,Sales,CC-112,Travel,45000,48401.64
BL-00141,2025-03,Q1 2025,FY2025,Sales,CC-107,Software,25000,23798.31
BL-00142,2025-03,Q1 2025,FY2025,Sales,CC-107,Training,18000,17765.08
BL-00143,2025-03,Q1 2025,FY2025,Sales,CC-113,Professional Services,15000,14540.68
BL-00144,2025-03,Q1 2025,FY2025,Sales,CC-111,Equipment,10000,9821.03
BL-00145,2025-03,Q1 2025,FY2025,Marketing,CC-114,Compensation,210000,218808.46
BL-00146,2025-03,Q1 2025,FY2025,Marketing,CC-120,Benefits,42000,44679.45
BL-00147,2025-03,Q1 2025,FY2025,Marketing,CC-119,Software,35000,35553.98
BL-00148,2025-03,Q1 2025,FY2025,Marketing,CC-120,Travel,25000,25927.56
BL-00149,2025-03,Q1 2025,FY2025,Marketing,CC-118,Professional Services,40000,40056.3
BL-00150,2025-03,Q1 2025,FY2025,Marketing,CC-115,Training,10000,10150.96
BL-00151,2025-03,Q1 2025,FY2025,Marketing,CC-114,Facilities,15000,14887.28
BL-00152,2025-03,Q1 2025,FY2025,Finance,CC-124,Compensation,160000,159349.6
BL-00153,2025-03,Q1 2025,FY2025,Finance,CC-123,Benefits,32000,31318.91
BL-00154,2025-03,Q1 2025,FY2025,Finance,CC-123,Software,20000,19353.08
BL-00155,2025-03,Q1 2025,FY2025,Finance,CC-122,Professional Services,25000,25337.41
BL-00156,2025-03,Q1 2025,FY2025,Finance,CC-123,Training,8000,8365.28
BL-00157,2025-03,Q1 2025,FY2025,Finance,CC-123,Facilities,12000,11573.83
BL-00158,2025-03,Q1 2025,FY2025,HR,CC-131,Compensation,120000,123272.18
BL-00159,2025-03,Q1 2025,FY2025,HR,CC-128,Benefits,24000,23514.44
BL-00160,2025-03,Q1 2025,FY2025,HR,CC-128,Software,15000,15687.3
BL-00161,2025-03,Q1 2025,FY2025,HR,CC-128,Professional Services,18000,16123.5
BL-00162,2025-03,Q1 2025,FY2025,HR,CC-128,Training,10000,10279.67
BL-00163,2025-03,Q1 2025,FY2025,HR,CC-129,Facilities,10000,9653.69
BL-00164,2025-03,Q1 2025,FY2025,Legal,CC-137,Compensation,140000,138831.67
BL-00165,2025-03,Q1 2025,FY2025,Legal,CC-137,Benefits,28000,29265.55
BL-00166,2025-03,Q1 2025,FY2025,Legal,CC-137,Professional Services,35000,33530.55
BL-00167,2025-03,Q1 2025,FY2025,Legal,CC-140,Software,10000,10311.27
BL-00168,2025-03,Q1 2025,FY2025,Legal,CC-137,Travel,5000,5237.74
BL-00169,2025-03,Q1 2025,FY2025,Legal,CC-140,Facilities,8000,7458.67
BL-00170,2025-03,Q1 2025,FY2025,Product,CC-146,Compensation,250000,235702.25
BL-00171,2025-03,Q1 2025,FY2025,Product,CC-144,Benefits,50000,52761.58
BL-00172,2025-03,Q1 2025,FY2025,Product,CC-147,Software,40000,40108.68
BL-00173,2025-03,Q1 2025,FY2025,Product,CC-144,Travel,12000,12587.62
BL-00174,2025-03,Q1 2025,FY2025,Product,CC-142,Equipment,15000,15559.38
BL-00175,2025-03,Q1 2025,FY2025,Product,CC-143,Training,10000,10380.16
BL-00176,2025-03,Q1 2025,FY2025,Product,CC-144,Facilities,15000,14526.52
BL-00177,2025-03,Q1 2025,FY2025,Operations,CC-151,Compensation,180000,179263.85
BL-00178,2025-03,Q1 2025,FY2025,Operations,CC-150,Benefits,36000,36728.06
BL-00179,2025-03,Q1 2025,FY2025,Operations,CC-153,Equipment,25000,24438.03
BL-00180,2025-03,Q1 2025,FY2025,Operations,CC-152,Software,18000,17023.21
BL-00181,2025-03,Q1 2025,FY2025,Operations,CC-149,Travel,10000,9995.38
BL-00182,2025-03,Q1 2025,FY2025,Operations,CC-149,Professional Services,12000,12786.68
BL-00183,2025-03,Q1 2025,FY2025,Operations,CC-149,Facilities,18000,17325.04
BL-00184,2025-03,Q1 2025,FY2025,IT,CC-156,Compensation,200000,191570.15
BL-00185,2025-03,Q1 2025,FY2025,IT,CC-158,Benefits,40000,39681.51
BL-00186,2025-03,Q1 2025,FY2025,IT,CC-157,Software,55000,55756.06
BL-00187,2025-03,Q1 2025,FY2025,IT,CC-159,Equipment,35000,34926.76
BL-00188,2025-03,Q1 2025,FY2025,IT,CC-160,Facilities,30000,28861.71
BL-00189,2025-03,Q1 2025,FY2025,IT,CC-161,Professional Services,15000,15177.66
BL-00190,2025-03,Q1 2025,FY2025,IT,CC-157,Training,8000,8005.76
BL-00191,2025-03,Q1 2025,FY2025,Executive,CC-167,Compensation,150000,141811.22
BL-00192,2025-03,Q1 2025,FY2025,Executive,CC-167,Benefits,30000,29517.59
BL-00193,2025-03,Q1 2025,FY2025,Executive,CC-165,Travel,20000,20187.18
BL-00194,2025-03,Q1 2025,FY2025,Executive,CC-165,Professional Services,10000,10125.62
BL-00195,2025-03,Q1 2025,FY2025,Executive,CC-169,Facilities,8000,8344.65
BL-00196,2025-04,Q2 2025,FY2025,Engineering,CC-100,Compensation,420000,406676.0
BL-00197,2025-04,Q2 2025,FY2025,Engineering,CC-101,Benefits,84000,85393.21
BL-00198,2025-04,Q2 2025,FY2025,Engineering,CC-105,Software,65000,64205.55
BL-00199,2025-04,Q2 2025,FY2025,Engineering,CC-106,Equipment,30000,31250.92
BL-00200,2025-04,Q2 2025,FY2025,Engineering,CC-103,Travel,15000,15471.42
BL-00201,2025-04,Q2 2025,FY2025,Engineering,CC-101,Training,12000,12590.91
BL-00202,2025-04,Q2 2025,FY2025,Engineering,CC-106,Facilities,25000,24795.79
BL-00203,2025-04,Q2 2025,FY2025,Sales,CC-108,Compensation,380000,390684.59
BL-00204,2025-04,Q2 2025,FY2025,Sales,CC-110,Benefits,76000,79487.22
BL-00205,2025-04,Q2 2025,FY2025,Sales,CC-109,Travel,45000,47178.36
BL-00206,2025-04,Q2 2025,FY2025,Sales,CC-113,Software,25000,25190.01
BL-00207,2025-04,Q2 2025,FY2025,Sales,CC-113,Training,18000,18881.79
BL-00208,2025-04,Q2 2025,FY2025,Sales,CC-112,Professional Services,15000,14658.81
BL-00209,2025-04,Q2 2025,FY2025,Sales,CC-113,Equipment,10000,10088.04
BL-00210,2025-04,Q2 2025,FY2025,Marketing,CC-119,Compensation,210000,205393.82
BL-00211,2025-04,Q2 2025,FY2025,Marketing,CC-120,Benefits,42000,43988.53
BL-00212,2025-04,Q2 2025,FY2025,Marketing,CC-117,Software,35000,36337.81
BL-00213,2025-04,Q2 2025,FY2025,Marketing,CC-117,Travel,25000,25238.05
BL-00214,2025-04,Q2 2025,FY2025,Marketing,CC-116,Professional Services,40000,42177.03
BL-00215,2025-04,Q2 2025,FY2025,Marketing,CC-115,Training,10000,9818.38
BL-00216,2025-04,Q2 2025,FY2025,Marketing,CC-115,Facilities,15000,15753.85
BL-00217,2025-04,Q2 2025,FY2025,Finance,CC-123,Compensation,160000,163109.89
BL-00218,2025-04,Q2 2025,FY2025,Finance,CC-123,Benefits,32000,32093.17
BL-00219,2025-04,Q2 2025,FY2025,Finance,CC-123,Software,20000,21031.11
BL-00220,2025-04,Q2 2025,FY2025,Finance,CC-123,Professional Services,25000,23526.01
BL-00221,2025-04,Q2 2025,FY2025,Finance,CC-127,Training,8000,7847.2
BL-00222,2025-04,Q2 2025,FY2025,Finance,CC-125,Facilities,12000,11717.63
BL-00223,2025-04,Q2 2025,FY2025,HR,CC-130,Compensation,120000,119584.29
BL-00224,2025-04,Q2 2025,FY2025,HR,CC-129,Benefits,24000,24148.68
BL-00225,2025-04,Q2 2025,FY2025,HR,CC-128,Software,15000,13872.07
BL-00226,2025-04,Q2 2025,FY2025,HR,CC-128,Professional Services,18000,17249.35
BL-00227,2025-04,Q2 2025,FY2025,HR,CC-134,Training,10000,9773.01
BL-00228,2025-04,Q2 2025,FY2025,HR,CC-130,Facilities,10000,9842.44
BL-00229,2025-04,Q2 2025,FY2025,Legal,CC-135,Compensation,140000,128853.41
BL-00230,2025-04,Q2 2025,FY2025,Legal,CC-138,Benefits,28000,28941.62
BL-00231,2025-04,Q2 2025,FY2025,Legal,CC-135,Professional Services,35000,35550.34
BL-00232,2025-04,Q2 2025,FY2025,Legal,CC-140,Software,10000,9885.01
BL-00233,2025-04,Q2 2025,FY2025,Legal,CC-141,Travel,5000,4832.75
BL-00234,2025-04,Q2 2025,FY2025,Legal,CC-139,Facilities,8000,8113.69
BL-00235,2025-04,Q2 2025,FY2025,Product,CC-147,Compensation,250000,243120.1
BL-00236,2025-04,Q2 2025,FY2025,Product,CC-147,Benefits,50000,46715.67
BL-00237,2025-04,Q2 2025,FY2025,Product,CC-147,Software,40000,40416.5
BL-00238,2025-04,Q2 2025,FY2025,Product,CC-144,Travel,12000,12361.5
BL-00239,2025-04,Q2 2025,FY2025,Product,CC-142,Equipment,15000,14525.03
BL-00240,2025-04,Q2 2025,FY2025,Product,CC-147,Training,10000,9690.61
BL-00241,2025-04,Q2 2025,FY2025,Product,CC-147,Facilities,15000,15433.15
BL-00242,2025-04,Q2 2025,FY2025,Operations,CC-152,Compensation,180000,176225.9
BL-00243,2025-04,Q2 2025,FY2025,Operations,CC-153,Benefits,36000,35231.06
BL-00244,2025-04,Q2 2025,FY2025,Operations,CC-150,Equipment,25000,26029.03
BL-00245,2025-04,Q2 2025,FY2025,Operations,CC-152,Software,18000,18285.36
BL-00246,2025-04,Q2 2025,FY2025,Operations,CC-154,Travel,10000,10414.34
BL-00247,2025-04,Q2 2025,FY2025,Operations,CC-153,Professional Services,12000,11997.39
BL-00248,2025-04,Q2 2025,FY2025,Operations,CC-151,Facilities,18000,17666.1
BL-00249,2025-04,Q2 2025,FY2025,IT,CC-158,Compensation,200000,190556.82
BL-00250,2025-04,Q2 2025,FY2025,IT,CC-158,Benefits,40000,41264.95
BL-00251,2025-04,Q2 2025,FY2025,IT,CC-160,Software,55000,55717.07
BL-00252,2025-04,Q2 2025,FY2025,IT,CC-161,Equipment,35000,36785.75
BL-00253,2025-04,Q2 2025,FY2025,IT,CC-161,Facilities,30000,29573.82
BL-00254,2025-04,Q2 2025,FY2025,IT,CC-157,Professional Services,15000,15436.71
BL-00255,2025-04,Q2 2025,FY2025,IT,CC-162,Training,8000,7574.61
BL-00256,2025-04,Q2 2025,FY2025,Executive,CC-168,Compensation,150000,149439.09
BL-00257,2025-04,Q2 2025,FY2025,Executive,CC-167,Benefits,30000,30183.17
BL-00258,2025-04,Q2 2025,FY2025,Executive,CC-168,Travel,20000,20221.1
BL-00259,2025-04,Q2 2025,FY2025,Executive,CC-169,Professional Services,10000,9818.11
BL-00260,2025-04,Q2 2025,FY2025,Executive,CC-169,Facilities,8000,7839.2
BL-00261,2025-05,Q2 2025,FY2025,Engineering,CC-106,Compensation,420000,421031.26
BL-00262,2025-05,Q2 2025,FY2025,Engineering,CC-101,Benefits,84000,86162.87
BL-00263,2025-05,Q2 2025,FY2025,Engineering,CC-103,Software,65000,65360.61
BL-00264,2025-05,Q2 2025,FY2025,Engineering,CC-104,Equipment,30000,30221.25
BL-00265,2025-05,Q2 2025,FY2025,Engineering,CC-103,Travel,15000,15102.63
BL-00266,2025-05,Q2 2025,FY2025,Engineering,CC-105,Training,12000,11886.6
BL-00267,2025-05,Q2 2025,FY2025,Engineering,CC-103,Facilities,25000,23938.5
BL-00268,2025-05,Q2 2025,FY2025,Sales,CC-110,Compensation,380000,371693.04
BL-00269,2025-05,Q2 2025,FY2025,Sales,CC-112,Benefits,76000,74959.3
BL-00270,2025-05,Q2 2025,FY2025,Sales,CC-107,Travel,45000,45449.75
BL-00271,2025-05,Q2 2025,FY2025,Sales,CC-107,Software,25000,26162.55
BL-00272,2025-05,Q2 2025,FY2025,Sales,CC-113,Training,18000,17330.79
BL-00273,2025-05,Q2 2025,FY2025,Sales,CC-112,Professional Services,15000,14750.49
BL-00274,2025-05,Q2 2025,FY2025,Sales,CC-111,Equipment,10000,10084.56
BL-00275,2025-05,Q2 2025,FY2025,Marketing,CC-120,Compensation,210000,202154.91
BL-00276,2025-05,Q2 2025,FY2025,Marketing,CC-114,Benefits,42000,42355.38
BL-00277,2025-05,Q2 2025,FY2025,Marketing,CC-119,Software,35000,33182.22
BL-00278,2025-05,Q2 2025,FY2025,Marketing,CC-118,Travel,25000,25364.33
BL-00279,2025-05,Q2 2025,FY2025,Marketing,CC-120,Professional Services,40000,41609.75
BL-00280,2025-05,Q2 2025,FY2025,Marketing,CC-117,Training,10000,9969.33
BL-00281,2025-05,Q2 2025,FY2025,Marketing,CC-118,Facilities,15000,14455.02
BL-00282,2025-05,Q2 2025,FY2025,Finance,CC-124,Compensation,160000,155025.46
BL-00283,2025-05,Q2 2025,FY2025,Finance,CC-122,Benefits,32000,32586.51
BL-00284,2025-05,Q2 2025,FY2025,Finance,CC-126,Software,20000,19338.82
BL-00285,2025-05,Q2 2025,FY2025,Finance,CC-127,Professional Services,25000,25528.72
BL-00286,2025-05,Q2 2025,FY2025,Finance,CC-122,Training,8000,7799.35
BL-00287,2025-05,Q2 2025,FY2025,Finance,CC-127,Facilities,12000,12155.25
BL-00288,2025-05,Q2 2025,FY2025,HR,CC-132,Compensation,120000,117548.92
BL-00289,2025-05,Q2 2025,FY2025,HR,CC-131,Benefits,24000,23470.04
BL-00290,2025-05,Q2 2025,FY2025,HR,CC-128,Software,15000,15032.16
BL-00291,2025-05,Q2 2025,FY2025,HR,CC-130,Professional Services,18000,17910.37
BL-00292,2025-05,Q2 2025,FY2025,HR,CC-130,Training,10000,9786.41
BL-00293,2025-05,Q2 2025,FY2025,HR,CC-129,Facilities,10000,10096.22
BL-00294,2025-05,Q2 2025,FY2025,Legal,CC-136,Compensation,140000,138928.04
