spend_id,campaign_id,spend_date,amount_usd,impressions,cpm,platform
SP-00562,CAMP-005,2025-08-18,1373.2,124384,11.04,YouTube
SP-00263,CAMP-007,2025-08-08,887.31,51647,17.18,Google Ads
SP-00448,CAMP-001,2025-09-08,1333.83,94064,14.18,LinkedIn
SP-00013,CAMP-007,2025-07-31,501.57,48181,10.41,Google Ads
SP-00544,CAMP-003,2025-09-29,1056.62,86964,12.15,Meta
SP-00561,CAMP-005,2025-09-02,749.85,54219,13.83,YouTube
SP-00668,CAMP-008,2025-09-21,1001.54,70930,14.12,LinkedIn
SP-01194,CAMP-040,2025-08-12,679.92,64203,10.59,TikTok
SP-00800,CAMP-015,2025-08-05,894.41,62284,14.36,TikTok
SP-00688,CAMP-009,2025-09-09,1241.9,196192,6.33,Google Ads
SP-01197,CAMP-040,2025-07-31,1420.83,125515,11.32,TikTok
SP-00548,CAMP-003,2025-08-02,1087.34,89937,12.09,Google Ads
SP-00414,CAMP-007,2025-09-11,1091.3,72996,14.95,Google Ads
SP-00043,CAMP-007,2025-07-23,1177.19,108898,10.81,Google Ads
SP-01037,CAMP-029,2025-08-21,1121.48,98031,11.44,Google Ads
SP-00409,CAMP-007,2025-08-27,1479.13,131244,11.27,Google Ads
SP-00438,CAMP-007,2025-08-24,1086.31,113988,9.53,Google Ads
SP-00639,CAMP-006,2025-09-11,701.12,69832,10.04,Google Ads
SP-00655,CAMP-008,2025-08-04,616.86,62498,9.87,TikTok
SP-00415,CAMP-007,2025-09-23,1135.69,71697,15.84,Google Ads
SP-00764,CAMP-013,2025-09-12,977.62,75843,12.89,Google Ads
SP-00813,CAMP-017,2025-09-21,1094.09,82386,13.28,Meta
SP-00606,CAMP-006,2025-09-21,1299.01,122202,10.63,Google Ads
SP-01175,CAMP-037,2025-08-13,872.45,77139,11.31,TikTok
SP-00476,CAMP-001,2025-08-06,1331.43,97043,13.72,LinkedIn
SP-00384,CAMP-007,2025-09-03,791.84,65333,12.12,Google Ads
SP-00552,CAMP-003,2025-07-05,934.14,98020,9.53,Google Ads
SP-01164,CAMP-036,2025-08-19,1027.29,105255,9.76,Meta
SP-00899,CAMP-021,2025-09-27,832.65,88204,9.44,YouTube
SP-00896,CAMP-021,2025-09-29,970.28,92056,10.54,TikTok
SP-00085,CAMP-007,2025-09-26,284.39,16768,16.96,Google Ads
SP-00294,CAMP-007,2025-09-19,677.46,50406,13.44,Google Ads
SP-01102,CAMP-033,2025-09-23,1006.36,126905,7.93,Google Ads
SP-00650,CAMP-008,2025-09-21,1103.48,85940,12.84,LinkedIn
SP-01155,CAMP-036,2025-08-20,816.52,53402,15.29,TikTok
SP-00014,CAMP-007,2025-07-08,825.86,63970,12.91,Google Ads
SP-00432,CAMP-007,2025-09-13,1243.31,189240,6.57,Google Ads
SP-01049,CAMP-030,2025-09-20,528.85,82375,6.42,Google Ads
SP-00297,CAMP-007,2025-07-03,1009.71,82425,12.25,Google Ads
SP-00358,CAMP-007,2025-08-13,1544.54,129466,11.93,Google Ads
SP-00299,CAMP-007,2025-09-28,530.6,81882,6.48,Google Ads
SP-00984,CAMP-025,2025-07-11,988.81,84297,11.73,Google Ads
SP-00482,CAMP-001,2025-07-12,1021.02,82740,12.34,TikTok
SP-00570,CAMP-005,2025-08-24,1265.33,122847,10.3,TikTok
SP-00857,CAMP-019,2025-09-19,1069.6,178564,5.99,Meta
SP-00905,CAMP-021,2025-09-24,1453.32,99884,14.55,YouTube
SP-01025,CAMP-029,2025-08-09,750.16,52642,14.25,Google Ads
SP-00571,CAMP-005,2025-09-12,1231.4,89817,13.71,TikTok
SP-00621,CAMP-006,2025-09-21,859.63,70346,12.22,Google Ads
SP-00649,CAMP-008,2025-08-11,513.0,33661,15.24,Meta
SP-01101,CAMP-033,2025-09-23,910.06,72055,12.63,Google Ads
SP-00856,CAMP-019,2025-09-03,1167.95,92547,12.62,TikTok
SP-00784,CAMP-014,2025-09-26,516.53,46325,11.15,Meta
SP-00563,CAMP-005,2025-09-13,1639.54,115055,14.25,YouTube
SP-00179,CAMP-007,2025-08-12,1132.74,140888,8.04,Google Ads
SP-00171,CAMP-007,2025-08-16,623.15,39843,15.64,Google Ads
SP-00452,CAMP-001,2025-08-09,714.09,51225,13.94,LinkedIn
SP-00969,CAMP-024,2025-08-15,932.84,77931,11.97,Google Ads
SP-01072,CAMP-031,2025-07-23,1043.62,134141,7.78,YouTube
SP-00475,CAMP-001,2025-07-20,567.3,66506,8.53,LinkedIn
SP-00454,CAMP-001,2025-08-06,880.41,73921,11.91,LinkedIn
SP-00427,CAMP-007,2025-08-21,1548.38,254667,6.08,Google Ads
SP-00698,CAMP-011,2025-07-30,656.88,63898,10.28,TikTok
SP-00048,CAMP-007,2025-08-22,1456.1,139339,10.45,Google Ads
SP-00236,CAMP-007,2025-09-09,1087.4,101247,10.74,Google Ads
SP-00711,CAMP-011,2025-07-03,664.28,61507,10.8,LinkedIn
SP-00599,CAMP-006,2025-08-15,807.97,80076,10.09,Google Ads
SP-00819,CAMP-017,2025-09-24,149.6,10033,14.91,Google Ads
SP-01023,CAMP-029,2025-08-20,904.18,118039,7.66,Google Ads
SP-00309,CAMP-007,2025-09-12,759.56,64424,11.79,Google Ads
SP-00682,CAMP-009,2025-09-29,1141.65,114050,10.01,Google Ads
SP-00948,CAMP-024,2025-07-13,972.51,113214,8.59,Google Ads
SP-00315,CAMP-007,2025-07-11,1004.38,109053,9.21,Google Ads
SP-00262,CAMP-007,2025-07-22,1019.41,91673,11.12,Google Ads
SP-00589,CAMP-005,2025-09-11,987.99,87047,11.35,YouTube
SP-00465,CAMP-001,2025-09-26,1161.35,91661,12.67,LinkedIn
SP-00933,CAMP-023,2025-07-02,1343.2,137764,9.75,TikTok
SP-00419,CAMP-007,2025-08-19,919.03,102455,8.97,Google Ads
SP-00960,CAMP-024,2025-09-28,1037.12,86139,12.04,Google Ads
SP-00805,CAMP-015,2025-08-08,678.97,54058,12.56,YouTube
SP-00225,CAMP-007,2025-08-13,812.77,61948,13.12,Google Ads
SP-00138,CAMP-007,2025-08-03,1149.4,121758,9.44,Google Ads
SP-00814,CAMP-017,2025-09-24,989.54,81577,12.13,Meta
SP-00117,CAMP-007,2025-07-15,1030.76,109190,9.44,Google Ads
SP-00936,CAMP-023,2025-08-01,593.28,42468,13.97,Meta
SP-00151,CAMP-007,2025-07-19,1096.88,108601,10.1,Google Ads
SP-00111,CAMP-007,2025-09-11,1044.84,101638,10.28,Google Ads
SP-00353,CAMP-007,2025-09-27,784.65,120160,6.53,Google Ads
SP-00256,CAMP-007,2025-08-02,619.46,61576,10.06,Google Ads
SP-00593,CAMP-005,2025-08-24,640.91,43042,14.89,TikTok
SP-00645,CAMP-008,2025-09-28,1234.23,183392,6.73,LinkedIn
SP-00704,CAMP-011,2025-08-20,1218.75,128831,9.46,Meta
SP-00788,CAMP-014,2025-08-27,1063.55,117910,9.02,Meta
SP-00772,CAMP-013,2025-09-14,839.46,76314,11.0,Google Ads
SP-01187,CAMP-038,2025-09-05,1075.16,105927,10.15,Google Ads
SP-00859,CAMP-019,2025-09-13,900.9,79234,11.37,Meta
SP-00025,CAMP-007,2025-07-22,588.09,51272,11.47,Google Ads
SP-00919,CAMP-023,2025-07-03,1518.39,121471,12.5,TikTok
SP-00852,CAMP-018,2025-07-29,604.39,56327,10.73,Google Ads
SP-01147,CAMP-035,2025-09-17,1063.68,101110,10.52,Google Ads
SP-00730,CAMP-012,2025-08-12,620.95,41122,15.1,TikTok
SP-00472,CAMP-001,2025-08-10,1076.43,102322,10.52,LinkedIn
SP-00532,CAMP-003,2025-09-28,994.73,119558,8.32,Google Ads
SP-00995,CAMP-026,2025-09-28,771.17,89255,8.64,TikTok
SP-01066,CAMP-031,2025-08-28,1036.47,71480,14.5,TikTok
SP-00352,CAMP-007,2025-07-20,1113.53,117833,9.45,Google Ads
SP-00773,CAMP-013,2025-08-05,1071.32,90406,11.85,Google Ads
SP-00147,CAMP-007,2025-07-19,906.47,168488,5.38,Google Ads
SP-00084,CAMP-007,2025-08-20,1360.76,111812,12.17,Google Ads
SP-00163,CAMP-007,2025-08-30,432.56,43083,10.04,Google Ads
SP-00161,CAMP-007,2025-07-20,1380.57,125392,11.01,Google Ads
SP-00106,CAMP-007,2025-08-15,565.88,43866,12.9,Google Ads
SP-00231,CAMP-007,2025-08-07,1220.48,83997,14.53,Google Ads
SP-00314,CAMP-007,2025-09-10,1091.99,114584,9.53,Google Ads
SP-00200,CAMP-007,2025-08-15,1449.22,122919,11.79,Google Ads
SP-00167,CAMP-007,2025-08-14,590.23,85047,6.94,Google Ads
SP-00214,CAMP-007,2025-09-20,1585.0,168259,9.42,Google Ads
SP-00331,CAMP-007,2025-07-05,904.74,72786,12.43,Google Ads
SP-00692,CAMP-009,2025-09-13,1491.27,127132,11.73,Meta
SP-00822,CAMP-017,2025-09-27,1200.02,115165,10.42,Google Ads
SP-00127,CAMP-007,2025-07-05,1305.48,101831,12.82,Google Ads
SP-01131,CAMP-035,2025-09-10,919.68,81676,11.26,Google Ads
SP-00635,CAMP-006,2025-07-25,1032.44,82793,12.47,Google Ads
SP-00065,CAMP-007,2025-07-30,1098.52,104223,10.54,Google Ads
SP-00396,CAMP-007,2025-09-04,882.26,87179,10.12,Google Ads
SP-00588,CAMP-005,2025-08-01,789.34,51658,15.28,YouTube
SP-00911,CAMP-022,2025-08-03,1164.5,104439,11.15,Google Ads
SP-00266,CAMP-007,2025-09-24,556.71,50934,10.93,Google Ads
SP-00734,CAMP-012,2025-08-10,884.73,63833,13.86,Meta
SP-00973,CAMP-024,2025-09-15,958.49,71743,13.36,Google Ads
SP-00818,CAMP-017,2025-09-04,448.77,30800,14.57,Meta
SP-01052,CAMP-030,2025-09-26,1087.02,83360,13.04,Google Ads
SP-00021,CAMP-007,2025-08-30,628.82,38436,16.36,Google Ads
SP-00449,CAMP-001,2025-09-11,1003.32,100131,10.02,LinkedIn
SP-00303,CAMP-007,2025-07-22,823.22,88139,9.34,Google Ads
SP-01125,CAMP-035,2025-08-08,1129.86,99634,11.34,Google Ads
SP-00495,CAMP-002,2025-08-11,1420.59,140097,10.14,LinkedIn
SP-00567,CAMP-005,2025-08-18,554.67,50840,10.91,TikTok
SP-00216,CAMP-007,2025-07-02,723.9,46643,15.52,Google Ads
SP-00080,CAMP-007,2025-08-08,98.27,14799,6.64,Google Ads
SP-00914,CAMP-023,2025-08-23,1160.7,92781,12.51,LinkedIn
SP-01034,CAMP-029,2025-08-25,1036.21,92767,11.17,Google Ads
SP-00684,CAMP-009,2025-09-18,676.74,49980,13.54,Meta
SP-00876,CAMP-020,2025-07-22,516.45,51336,10.06,Google Ads
SP-01126,CAMP-035,2025-09-14,575.83,41848,13.76,Google Ads
SP-01091,CAMP-032,2025-08-12,1145.47,87507,13.09,LinkedIn
SP-01020,CAMP-029,2025-08-15,682.72,58054,11.76,Meta
SP-00923,CAMP-023,2025-08-04,969.98,78668,12.33,TikTok
SP-01106,CAMP-034,2025-09-11,594.12,72987,8.14,Google Ads
SP-00626,CAMP-006,2025-09-29,341.45,28790,11.86,Google Ads
SP-01180,CAMP-038,2025-08-13,1114.39,99233,11.23,Meta
SP-00272,CAMP-007,2025-09-21,1126.26,150569,7.48,Google Ads
SP-00747,CAMP-013,2025-09-08,1068.29,115241,9.27,Google Ads
SP-00600,CAMP-006,2025-07-27,1074.31,125650,8.55,Google Ads
SP-00832,CAMP-018,2025-08-24,1159.69,109198,10.62,Google Ads
SP-01068,CAMP-031,2025-08-25,985.39,90154,10.93,TikTok
SP-00861,CAMP-019,2025-09-02,739.94,85740,8.63,Meta
SP-00613,CAMP-006,2025-08-22,882.21,74322,11.87,Google Ads
SP-00874,CAMP-020,2025-08-30,1072.84,61200,17.53,Meta
SP-00845,CAMP-018,2025-07-22,951.15,65732,14.47,Google Ads
SP-00255,CAMP-007,2025-07-12,1394.77,121284,11.5,Google Ads
SP-00533,CAMP-003,2025-09-19,1223.87,193344,6.33,Google Ads
SP-00555,CAMP-004,2025-07-14,916.26,107164,8.55,Google Ads
SP-00865,CAMP-019,2025-09-15,903.53,98746,9.15,LinkedIn
SP-00900,CAMP-021,2025-09-22,808.44,70482,11.47,YouTube
SP-01122,CAMP-035,2025-08-22,804.87,78218,10.29,Google Ads
SP-00729,CAMP-012,2025-08-17,1513.34,170805,8.86,TikTok
SP-00749,CAMP-013,2025-08-14,1044.12,83663,12.48,Google Ads
SP-00094,CAMP-007,2025-09-12,1623.51,132748,12.23,Google Ads
SP-00253,CAMP-007,2025-07-25,925.66,80352,11.52,Google Ads
SP-00278,CAMP-007,2025-09-27,794.8,94170,8.44,Google Ads
SP-00935,CAMP-023,2025-09-05,874.68,55535,15.75,Meta
SP-00509,CAMP-002,2025-08-07,221.27,24476,9.04,Meta
SP-00619,CAMP-006,2025-08-17,1547.02,196571,7.87,Google Ads
SP-00831,CAMP-018,2025-09-15,958.87,107617,8.91,Google Ads
SP-00436,CAMP-007,2025-08-01,1217.55,117865,10.33,Google Ads
SP-00334,CAMP-007,2025-07-31,1034.62,99006,10.45,Google Ads
SP-00878,CAMP-020,2025-08-30,665.51,58123,11.45,Meta
SP-00844,CAMP-018,2025-09-17,622.72,73520,8.47,Google Ads
SP-00833,CAMP-018,2025-08-22,1226.77,90737,13.52,Google Ads
SP-01161,CAMP-036,2025-09-14,419.29,31525,13.3,Meta
SP-00174,CAMP-007,2025-08-09,927.24,66804,13.88,Google Ads
SP-00246,CAMP-007,2025-08-13,1399.99,161848,8.65,Google Ads
SP-00379,CAMP-007,2025-08-07,744.64,58540,12.72,Google Ads
SP-00177,CAMP-007,2025-07-08,771.88,63372,12.18,Google Ads
SP-00392,CAMP-007,2025-09-21,783.73,45041,17.4,Google Ads
SP-00459,CAMP-001,2025-07-06,691.7,72429,9.55,TikTok
SP-00894,CAMP-021,2025-09-01,1142.01,121619,9.39,YouTube
SP-01134,CAMP-035,2025-09-23,738.87,63422,11.65,Google Ads
SP-00835,CAMP-018,2025-07-19,1200.42,99126,12.11,Google Ads
SP-00388,CAMP-007,2025-08-14,788.6,58027,13.59,Google Ads
SP-00637,CAMP-006,2025-09-08,1020.56,100251,10.18,Google Ads
SP-00455,CAMP-001,2025-08-04,1084.43,108987,9.95,Meta
SP-00504,CAMP-002,2025-08-27,630.45,73479,8.58,Meta
SP-00208,CAMP-007,2025-07-13,952.01,93701,10.16,Google Ads
SP-00290,CAMP-007,2025-09-17,1065.19,105989,10.05,Google Ads
SP-00178,CAMP-007,2025-07-11,369.82,49375,7.49,Google Ads
SP-00375,CAMP-007,2025-09-04,744.96,64000,11.64,Google Ads
SP-00696,CAMP-010,2025-07-11,865.4,83856,10.32,Google Ads
SP-00133,CAMP-007,2025-08-22,827.87,52067,15.9,Google Ads
SP-00628,CAMP-006,2025-07-10,497.14,48834,10.18,Google Ads
SP-00843,CAMP-018,2025-08-21,1382.39,148325,9.32,Google Ads
SP-00319,CAMP-007,2025-08-04,1200.48,132066,9.09,Google Ads
SP-00220,CAMP-007,2025-08-10,968.34,68144,14.21,Google Ads
SP-00719,CAMP-011,2025-07-06,845.74,108987,7.76,Meta
SP-00316,CAMP-007,2025-08-04,989.66,80920,12.23,Google Ads
SP-00267,CAMP-007,2025-08-05,803.6,68742,11.69,Google Ads
SP-00054,CAMP-007,2025-08-18,1331.4,116584,11.42,Google Ads
SP-00707,CAMP-011,2025-07-28,1017.48,190896,5.33,LinkedIn
SP-00241,CAMP-007,2025-08-20,433.36,35874,12.08,Google Ads
SP-00100,CAMP-007,2025-07-28,636.88,48616,13.1,Google Ads
SP-00897,CAMP-021,2025-09-15,784.86,62339,12.59,YouTube
SP-00713,CAMP-011,2025-09-07,708.49,48295,14.67,LinkedIn
SP-00186,CAMP-007,2025-09-07,1302.22,115342,11.29,Google Ads
SP-00807,CAMP-015,2025-08-08,1582.91,119015,13.3,YouTube
SP-00785,CAMP-014,2025-08-12,1207.02,81116,14.88,Google Ads
SP-01160,CAMP-036,2025-07-29,1281.06,136573,9.38,TikTok
SP-00795,CAMP-015,2025-08-24,744.11,64480,11.54,YouTube
SP-00071,CAMP-007,2025-09-30,1245.94,91210,13.66,Google Ads
SP-01005,CAMP-028,2025-08-05,1045.95,71591,14.61,Meta
SP-00853,CAMP-018,2025-08-22,880.33,54007,16.3,Google Ads
SP-00194,CAMP-007,2025-07-24,710.0,77850,9.12,Google Ads
SP-01088,CAMP-032,2025-08-04,668.3,62869,10.63,Meta
SP-00082,CAMP-007,2025-08-10,624.51,44166,14.14,Google Ads
SP-01051,CAMP-030,2025-08-23,513.86,43072,11.93,Google Ads
SP-00095,CAMP-007,2025-07-16,603.16,64925,9.29,Google Ads
SP-00067,CAMP-007,2025-07-06,1335.28,109002,12.25,Google Ads
SP-00705,CAMP-011,2025-07-12,360.57,35735,10.09,TikTok
SP-00792,CAMP-014,2025-09-07,752.55,74142,10.15,Google Ads
SP-00517,CAMP-002,2025-08-02,1398.84,126477,11.06,TikTok
SP-00693,CAMP-010,2025-08-02,678.75,85809,7.91,Google Ads
SP-00918,CAMP-023,2025-07-21,882.17,81833,10.78,Meta
SP-00790,CAMP-014,2025-09-07,603.35,45812,13.17,Google Ads
SP-00598,CAMP-006,2025-09-14,1062.92,109017,9.75,Google Ads
SP-00513,CAMP-002,2025-08-07,1516.7,109667,13.83,LinkedIn
SP-00158,CAMP-007,2025-07-12,754.31,109004,6.92,Google Ads
SP-00967,CAMP-024,2025-07-12,1815.55,154514,11.75,Google Ads
SP-00190,CAMP-007,2025-09-18,1230.71,158392,7.77,Google Ads
SP-00940,CAMP-023,2025-07-09,1079.17,123474,8.74,LinkedIn
SP-00989,CAMP-026,2025-09-03,1038.71,64838,16.02,Meta
SP-00612,CAMP-006,2025-09-16,1205.2,115773,10.41,Google Ads
SP-00508,CAMP-002,2025-08-29,1087.08,93633,11.61,TikTok
SP-00579,CAMP-005,2025-08-01,693.59,60312,11.5,TikTok
SP-01017,CAMP-028,2025-08-18,1270.73,123852,10.26,TikTok
SP-00218,CAMP-007,2025-09-25,843.17,79544,10.6,Google Ads
SP-00999,CAMP-027,2025-07-09,1029.34,104078,9.89,Google Ads
SP-00526,CAMP-003,2025-09-28,565.6,34935,16.19,Meta
SP-00596,CAMP-005,2025-08-16,764.34,99783,7.66,TikTok
SP-00215,CAMP-007,2025-08-12,576.45,57472,10.03,Google Ads
SP-00005,CAMP-007,2025-09-06,724.08,57972,12.49,Google Ads
SP-00932,CAMP-023,2025-09-04,326.99,31290,10.45,LinkedIn
SP-00187,CAMP-007,2025-09-15,730.66,58971,12.39,Google Ads
SP-00113,CAMP-007,2025-07-26,314.13,27627,11.37,Google Ads
SP-00405,CAMP-007,2025-09-23,508.44,44135,11.52,Google Ads
SP-01081,CAMP-032,2025-08-16,1339.7,121680,11.01,LinkedIn
SP-00898,CAMP-021,2025-09-28,1268.14,123240,10.29,TikTok
SP-00625,CAMP-006,2025-07-21,781.74,66758,11.71,Google Ads
SP-01129,CAMP-035,2025-08-31,674.39,70030,9.63,Google Ads
SP-00394,CAMP-007,2025-08-07,1375.23,99366,13.84,Google Ads
SP-00972,CAMP-024,2025-09-04,925.69,67915,13.63,Google Ads
SP-00541,CAMP-003,2025-08-05,871.94,62236,14.01,Meta
SP-00724,CAMP-012,2025-08-25,1178.28,81092,14.53,TikTok
SP-00671,CAMP-008,2025-07-02,798.78,70501,11.33,Meta
SP-00834,CAMP-018,2025-07-29,1165.51,137442,8.48,Google Ads
SP-01135,CAMP-035,2025-07-15,579.85,55066,10.53,Google Ads
SP-00740,CAMP-013,2025-08-18,1186.58,82861,14.32,Google Ads
SP-00077,CAMP-007,2025-09-22,1115.53,111441,10.01,Google Ads
SP-00930,CAMP-023,2025-07-16,859.85,99866,8.61,Meta
SP-00666,CAMP-008,2025-09-30,1543.81,117221,13.17,Meta
SP-00823,CAMP-017,2025-09-11,1012.34,83872,12.07,Meta
SP-00971,CAMP-024,2025-09-06,998.09,80232,12.44,Google Ads
SP-00667,CAMP-008,2025-08-14,842.96,120941,6.97,Meta
SP-00090,CAMP-007,2025-09-19,743.65,62334,11.93,Google Ads
SP-00739,CAMP-013,2025-08-21,805.69,57467,14.02,Google Ads
SP-01074,CAMP-031,2025-09-30,1369.68,137380,9.97,TikTok
SP-00189,CAMP-007,2025-09-24,796.34,95829,8.31,Google Ads
SP-00251,CAMP-007,2025-09-02,891.64,79186,11.26,Google Ads
SP-00250,CAMP-007,2025-07-30,1059.1,117677,9.0,Google Ads
SP-00203,CAMP-007,2025-08-28,303.72,23202,13.09,Google Ads
SP-00703,CAMP-011,2025-08-03,1019.36,75788,13.45,TikTok
SP-01035,CAMP-029,2025-08-07,1440.81,125287,11.5,Meta
SP-00042,CAMP-007,2025-07-12,611.8,54527,11.22,Google Ads
SP-00968,CAMP-024,2025-09-20,628.4,56971,11.03,Google Ads
SP-01084,CAMP-032,2025-08-31,855.11,76213,11.22,TikTok
SP-00714,CAMP-011,2025-07-20,1572.93,216955,7.25,TikTok
SP-00786,CAMP-014,2025-09-02,1197.42,124084,9.65,Meta
SP-00322,CAMP-007,2025-08-04,790.96,81124,9.75,Google Ads
SP-00336,CAMP-007,2025-07-08,1178.57,106657,11.05,Google Ads
SP-00227,CAMP-007,2025-07-21,1092.09,94471,11.56,Google Ads
SP-00592,CAMP-005,2025-09-22,1178.58,164836,7.15,YouTube
SP-01089,CAMP-032,2025-08-05,595.23,67181,8.86,LinkedIn
SP-00112,CAMP-007,2025-08-11,1155.05,203353,5.68,Google Ads
SP-00518,CAMP-002,2025-08-05,1234.64,90849,13.59,LinkedIn
SP-00057,CAMP-007,2025-08-10,1224.44,109618,11.17,Google Ads
SP-00750,CAMP-013,2025-08-21,900.9,65377,13.78,Google Ads
SP-01056,CAMP-030,2025-09-05,910.81,81981,11.11,Google Ads
SP-00775,CAMP-014,2025-08-16,592.74,77992,7.6,Google Ads
SP-00105,CAMP-007,2025-08-05,1179.83,114769,10.28,Google Ads
